SiteType siteAbbr SiteName NestRand HumDist NestCluster ibdepth Canopy DistTW Slope dailyMean_C dailyMax_C dailyMin_C range urbPC1 urbPC2
2 longleaf LongleafVillas  0 High 1 7.5 32.78 6.3 17.8 NA NA NA NA 3.56509213121659 0.919860865671254
2 longleaf LongleafVillas  1 High 1 7.5 8.89 9.87 20 NA NA NA NA 3.56509213121659 0.919860865671254
2 longleaf LongleafVillas  1 High 1 7.5 65.58 3.63 2 NA NA NA NA 3.56509213121659 0.919860865671254
2 longleaf LongleafVillas  1 High 1 7.5 22.05 5.89 20 NA NA NA NA 3.56509213121659 0.919860865671254
2 kieselpark KieselPark 0 High 2 7.1 55.12 109 6 NA NA NA NA -0.681033084249243 1.54570406864472
2 kieselpark KieselPark 1 High 2 7.1 61.64 106 6 27.9113805970149 32 25.3358208955224 6.66417910447761 -0.681033084249243 1.54570406864472
2 kieselpark KieselPark 1 High 2 7.1 40.4 114 2 27.5195895522388 30.6194029850746 25.5074626865672 5.11194029850746 -0.681033084249243 1.54570406864472
2 kieselpark KieselPark 1 High 2 7.1 64.76 111 5 27.3980099502488 30.1865671641791 25.3880597014925 4.79850746268657 -0.681033084249243 1.54570406864472
1 fisheriesS30 FisheriesS30 0 Intermediate 3 7.2 88.61 11.4 1 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 3 7.2 90.7 10.28 5 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 3 7.2 81.05 11.5 1 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 3 7.2 92.97 7.9 2 NA NA NA NA -0.775443831015433 -0.20722126310982
2 longleaf LongleafVillas  0 High D1 6.3 30.07 5.26 14 NA NA NA NA 3.56509213121659 0.919860865671254
2 longleaf LongleafVillas  1 High D1 6.3 6.16 9.48 17 NA NA NA NA 3.56509213121659 0.919860865671254
2 longleaf LongleafVillas  1 High D1 6.3 6.07 9.99 24 NA NA NA NA 3.56509213121659 0.919860865671254
2 longleaf LongleafVillas  1 High D1 6.3 12.52 7.63 14 NA NA NA NA 3.56509213121659 0.919860865671254
